Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight
"Air, Land, & Sea",2019,2,2,15,30,14,"['Card Game', 'Print & Play', 'Wargame', 'World War II']","['Card Play Conflict Resolution', 'Hand Management']",5734,7.46055,506,10740,192,260,2149,1311,102,1.7255
7 Wonders Duel,2015,2,2,30,30,10,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['End Game Bonuses', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Tech Trees / Tech Tracks', 'Tug of War', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",87424,8.09782,18,143049,902,933,10387,11608,2734,2.2271
Antike II,2014,3,6,90,120,13,"['Ancient', 'Civilization', 'Fighting', 'Nautical', 'Territory Building']","['Advantage Token', 'Area Majority / Influence', 'Area Movement', 'Rondel', 'Tech Trees / Tech Tracks']",1580,7.47256,1451,2269,62,226,776,400,83,2.8554
Zombie Kidz Evolution,2018,2,4,5,15,7,"[""Children's Game"", 'Horror', 'Zombies']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Legacy Game', 'Variable Player Powers']",4505,7.66026,496,9589,55,114,1177,825,121,1.3967
Royals,2014,2,5,60,60,10,[],"['Area Majority / Influence', 'Open Drafting', 'Set Collection']",2677,7.17261,1263,3794,161,161,814,591,103,2.2136
Alma Mater,2020,2,4,90,150,12,['Renaissance'],"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Tile Placement', 'Worker Placement']",2689,7.38207,1064,5720,216,146,1141,553,153,3.7451
Seikatsu,2017,1,4,15,30,10,"['Abstract Strategy', 'Animals', 'Puzzle']","['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']",1876,6.99716,1941,2876,66,121,818,448,70,1.5
Kingsburg,2007,2,5,90,90,13,"['City Building', 'Dice', 'Fantasy', 'Medieval']","['Dice Rolling', 'Tech Trees / Tech Tracks', 'Worker Placement with Dice Workers']",19463,7.17764,447,18040,391,706,3353,4032,1243,2.4224
Gold West,2015,2,4,45,60,13,"['American West', 'Economic', 'Territory Building']","['Area Majority / Influence', 'Contracts', 'Mancala', 'Modular Board', 'Network and Route Building', 'Set Collection']",3019,7.31828,993,3503,130,287,1170,650,93,2.4731
Mykerinos,2006,2,4,30,60,10,['Exploration'],"['Area Majority / Influence', 'Hand Management', 'Modular Board']",3957,6.84388,1388,4023,205,121,616,1313,519,2.5607
Imperial Steam,2021,2,4,120,120,12,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains']","['Contracts', 'Delayed Purchase', 'End Game Bonuses', 'Market', 'Network and Route Building', 'Point to Point Movement', 'Sudden Death Ending', 'Turn Order: Stat-Based', 'Victory Points as a Resource']",1758,7.81936,1013,3169,64,188,1255,336,138,4.1812
Mexica,2002,2,4,90,90,10,"['Abstract Strategy', 'City Building', 'Territory Building']","['Action Points', 'Area Majority / Influence', 'Enclosure', 'Grid Movement', 'Square Grid', 'Tile Placement']",5757,7.2471,692,9221,255,456,1737,1615,399,2.6942
Nidavellir,2020,2,5,45,45,10,"['Card Game', 'Fantasy', 'Mythology']","['Auction: Multiple Lot', 'Constrained Bidding', 'Open Drafting', 'Selection Order Bid', 'Set Collection', 'Simultaneous Action Selection', 'Turn Order: Auction', 'Victory Points as a Resource']",12015,7.61635,216,15861,165,539,3755,1604,254,2.0984
Fearsome Floors,2003,2,7,60,60,10,['Horror'],"['Grid Movement', 'Modular Board', 'Race', 'Square Grid']",8163,6.67445,1335,8969,264,249,1081,2217,672,1.8185
Babel,2000,2,2,45,60,12,"['Ancient', 'Card Game', 'City Building']","['Hand Management', 'Set Collection', 'Take That', 'Zone of Control']",4046,6.64801,1767,6571,280,129,611,1259,353,2.4051
Expedition: Northwest Passage,2010,1,4,60,60,14,"['Exploration', 'Nautical']","['Action Points', 'Map Addition', 'Set Collection', 'Tile Placement']",1987,6.97386,1821,2300,76,260,922,573,116,2.6983
Arkadia,2006,2,4,45,60,10,['City Building'],"['Area Majority / Influence', 'Set Collection', 'Stock Holding', 'Tile Placement']",4289,6.90799,1258,4587,272,176,747,1437,504,2.5714
Stephenson's Rocket,1999,2,4,60,60,12,"['Trains', 'Transportation']","['Area Majority / Influence', 'Auction: Once Around', 'Chaining', 'End Game Bonuses', 'Grid Movement', 'Hexagon Grid', 'Investment', 'Network and Route Building', 'Set Collection', 'Stock Holding', 'Tile Placement']",2921,6.92054,1491,4642,240,295,712,1116,258,3.0581
Explorers of the North Sea,2016,1,4,45,60,12,"['Animals', 'Exploration', 'Medieval', 'Nautical']","['Action Points', 'Area Majority / Influence', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Tile Placement', 'Variable Player Powers']",2981,7.29998,1063,6183,67,246,1290,624,103,2.1262
Warhammer: Diskwars,2013,2,4,45,90,14,"['Dice', 'Fantasy', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Movement Template', 'Player Elimination', 'Rock-Paper-Scissors', 'Variable Player Powers']",2002,7.07118,1874,4343,244,62,321,491,127,2.7717
Karuba,2015,2,4,30,40,8,"['Exploration', 'Puzzle']","['Bingo', 'Connections', 'Grid Movement', 'Network and Route Building', 'Simultaneous Action Selection', 'Tile Placement']",10649,7.17596,568,15231,248,430,2638,1930,230,1.4348
Welcome To...,2018,1,100,25,25,10,['City Building'],"['Bingo', 'Contracts', 'Paper-and-Pencil', 'Pattern Building', 'Simultaneous Action Selection', 'Solo / Solitaire Game']",28728,7.55083,158,45353,443,446,5061,3729,533,1.833
Stellar,2020,2,2,30,30,8,['Card Game'],"['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Set Collection', 'Tile Placement']",1302,7.40152,1836,3359,56,118,1103,288,45,2.1778
Automania,2015,2,4,60,90,12,"['Economic', 'Industry / Manufacturing']","['Open Drafting', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']",2464,7.32332,1136,2832,77,396,1263,558,100,2.74
Dice Hospital,2018,1,4,45,90,10,"['Dice', 'Medical']","['Action Drafting', 'Action Points', 'Dice Rolling', 'Hexagon Grid', 'I Cut, You Choose', 'Modular Board', 'Solo / Solitaire Game', 'Variable Phase Order']",5981,7.13979,811,9351,132,273,1679,1044,135,2.3111
Advanced Squad Leader: Starter Kit #3,2007,2,2,180,180,12,"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid']",1087,8.05045,1536,3364,40,96,293,358,131,3.9008
Dice Town,2009,2,5,45,45,10,"['American West', 'Dice']","['Catch the Leader', 'Dice Rolling', 'Re-rolling and Locking', 'Set Collection', 'Simultaneous Action Selection']",7542,6.86368,1045,9313,219,335,1621,1725,372,1.6909
Trapwords,2018,4,8,30,45,8,"['Exploration', 'Fantasy', 'Party Game', 'Word Game']","['Modular Board', 'Team-Based Game']",2837,6.9877,1498,5662,124,79,760,474,46,1.4348
Ingenious,2004,1,4,30,45,8,['Abstract Strategy'],"['Hand Management', 'Highest-Lowest Scoring', 'Pattern Building', 'Team-Based Game', 'Tile Placement']",16895,7.10335,537,21045,562,321,2111,4171,1389,1.9093
Mariposas,2020,2,5,45,75,14,"['Animals', 'Environmental']","['Grid Movement', 'Hexagon Grid', 'Movement Points', 'Set Collection', 'Turn Order: Stat-Based']",4651,6.83367,1352,10085,327,163,1663,812,140,2.1714
Blitzkrieg!: World War Two in 20 Minutes,2019,1,2,20,45,14,"['Wargame', 'World War II']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Hand Management', 'Kill Steal', 'Race', 'Solo / Solitaire Game', 'Take That', 'Tug of War', 'Worker Placement, Different Worker Types']",5070,7.61648,428,8343,138,473,2679,948,130,1.9308
Show Manager,1996,2,6,60,60,10,['Card Game'],"['Auction: Dutch', 'Open Drafting', 'Set Collection']",1788,6.98932,1947,2018,85,143,402,563,160,2.0938
Rune Age,2011,2,4,20,60,13,"['Card Game', 'Fantasy', 'Fighting']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Dice Rolling', 'Hand Management', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']",4416,6.81057,1465,6500,343,113,655,1002,252,2.2897
PitchCar,1995,2,8,30,30,6,"['Action / Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']","['Flicking', 'Modular Board', 'Race']",10737,7.26109,463,11586,158,985,3595,2745,662,1.1269
Fire & Axe: A Viking Saga,2004,3,5,30,90,12,"['Medieval', 'Nautical']","['Action Points', 'Area Movement', 'Dice Rolling', 'Pick-up and Deliver']",3164,6.99708,1356,4482,250,217,956,1174,317,2.6719
It's a Wonderful Kingdom,2021,1,2,45,60,14,"['Card Game', 'Fantasy', 'Medieval']","['Betting and Bluffing', 'I Cut, You Choose', 'Open Drafting', 'Solo / Solitaire Game']",2288,7.33934,1255,6226,187,115,1093,481,64,2.6406
Discoveries: The Journals of Lewis & Clark,2015,2,4,60,60,14,"['American West', 'Dice']","['Contracts', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Set Collection', 'Worker Placement', 'Worker Placement with Dice Workers']",4874,7.03545,1009,6992,323,153,936,1013,198,2.3636
Grove: A 9 card solitaire game,2021,1,1,5,10,8,"['Abstract Strategy', 'Card Game', 'Farming', 'Print & Play']","['Melding and Splaying', 'Pattern Building', 'Solo / Solitaire Game', 'Tile Placement']",1206,7.78928,1505,3495,22,65,561,285,37,1.4054
Azul: Summer Pavilion,2019,2,4,30,45,8,"['Abstract Strategy', 'Puzzle']","['End Game Bonuses', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Claim Action']",14281,7.66183,172,23901,183,482,3343,1836,304,2.0526
Dune,2019,2,6,120,180,14,"['Bluffing', 'Fighting', 'Negotiation', 'Novel-based', 'Political', 'Science Fiction', 'Wargame']","['Alliances', 'Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Bribery', 'Force Commitment', 'Map Deformation', 'Predictive Bid', 'Take That', 'Variable Player Powers']",7571,7.95712,189,17222,242,387,4437,1552,330,3.9939
Finca,2009,2,4,45,45,10,"['Economic', 'Farming']","['Contracts', 'Mancala', 'Once-Per-Game Abilities', 'Rondel', 'Set Collection']",7290,7.06674,796,6908,101,477,1462,1776,484,2.0764
Sagrada,2017,1,4,30,45,14,"['Dice', 'Puzzle']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Set-up']",38247,7.48344,182,61617,535,835,7818,5273,789,1.924
Serenissima,1996,2,4,120,120,12,"['Economic', 'Nautical', 'Renaissance']","['Area Movement', 'Dice Rolling', 'Pick-up and Deliver', 'Trading', 'Turn Order: Auction']",2295,6.85914,1949,3188,206,67,270,781,257,3.0389
Champions of Midgard,2015,2,4,60,90,10,"['Adventure', 'Dice', 'Fantasy', 'Fighting', 'Medieval', 'Mythology']","['Dice Rolling', 'Set Collection', 'Variable Player Powers', 'Worker Placement']",16862,7.73342,127,23707,275,782,5187,2950,413,2.6029
ZÈRTZ,1999,2,2,30,60,9,['Abstract Strategy'],"['Grid Movement', 'Map Reduction', 'Set Collection']",4257,7.26678,864,6229,121,213,993,1334,338,2.7456
Radlands,2021,2,2,20,40,14,"['Card Game', 'Fighting', 'Science Fiction']","['Action Points', 'Action Queue', 'Hand Management', 'Take That', 'Variable Player Powers']",7994,7.9191,169,16350,159,368,3674,1376,181,2.2541
Star Trek: Frontiers,2016,1,4,60,240,14,"['Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hexagon Grid', 'Modular Board', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers']",1836,7.83923,1011,4681,116,383,1962,564,114,4.3246
Cartographers Heroes,2021,1,100,30,45,10,"['Fantasy', 'Territory Building']","['Bingo', 'Grid Coverage', 'Line Drawing', 'Paper-and-Pencil', 'Solo / Solitaire Game', 'Square Grid']",3498,7.81574,483,10673,69,131,934,601,59,2.0678
Tash-Kalar: Arena of Legends,2013,2,4,30,60,13,"['Abstract Strategy', 'Card Game', 'Fantasy', 'Fighting']","['Area Majority / Influence', 'Catch the Leader', 'Grid Movement', 'Hand Management', 'Highest-Lowest Scoring', 'Pattern Building', 'Team-Based Game', 'Tile Placement', 'Variable Player Powers']",6961,7.16348,716,8893,346,251,1775,1420,301,2.8405
Survive: Escape from Atlantis!,1982,2,4,45,60,8,"['Adventure', 'Animals', 'Bluffing', 'Nautical']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Map Reduction', 'Memory', 'Modular Board', 'Secret Unit Deployment', 'Take That']",25032,7.31562,322,37005,565,662,4519,5017,1022,1.6967
Castellion,2015,1,2,30,30,10,"['Fantasy', 'Puzzle']","['Cooperative Game', 'Solo / Solitaire Game', 'Tile Placement']",2023,6.90241,1972,4704,139,130,818,567,67,2.0896
Frosthaven,2022,1,4,30,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",5141,8.86773,58,13208,97,289,4649,1419,307,4.3192
Space Hulk (Third Edition),2009,2,2,60,60,12,"['Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Scenario / Mission / Campaign Game']",7058,7.52842,424,10021,241,360,1558,1711,538,2.7862
Tragedy Looper,2011,2,4,120,120,13,"['Bluffing', 'Card Game', 'Deduction', 'Murder/Mystery']","['Communication Limits', 'Deduction', 'Grid Movement', 'Hand Management', 'Memory', 'Team-Based Game']",4478,7.18379,937,8873,427,197,1497,1082,201,3.5522
Nemesis: Lockdown,2022,1,5,90,180,12,"['Adventure', 'Exploration', 'Horror', 'Miniatures', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Traitor Game', 'Variable Player Powers']",4083,8.40893,188,12040,90,272,2054,923,156,3.891
Silver & Gold,2019,2,4,20,20,8,"['Adventure', 'Exploration']","['Bingo', 'Contracts', 'End Game Bonuses', 'Grid Coverage', 'Paper-and-Pencil', 'Set Collection']",7444,7.21986,612,14153,221,144,1281,1162,132,1.1667
Imperial 2030,2009,2,6,120,180,12,"['Economic', 'Nautical', 'Political']","['Area Majority / Influence', 'Area Movement', 'Investment', 'Ownership', 'Rondel', 'Stock Holding']",6636,7.65556,308,7674,168,545,2015,1272,391,3.5038
Go,-2200,2,2,30,180,8,['Abstract Strategy'],"['Enclosure', 'Square Grid']",16760,7.64507,198,23545,274,151,2007,4080,1582,3.9286
CV,2013,2,4,60,60,10,"['Card Game', 'Dice', 'Humor']","['Contracts', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection', 'Simulation']",6384,6.58888,1587,8166,384,178,1162,1253,270,1.8519
Horrified,2019,1,5,60,60,10,"['Horror', 'Miniatures', 'Movies / TV / Radio theme']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Pick-up and Deliver', 'Point to Point Movement', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']",14676,7.67371,175,29059,392,448,5056,2425,317,2.0473
Trickerion: Legends of Illusion,2015,2,4,60,180,14,['Post-Napoleonic'],"['Action Points', 'Action Queue', 'Catch the Leader', 'Dice Rolling', 'Simultaneous Action Selection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement', 'Worker Placement, Different Worker Types']",9978,7.96732,103,14670,212,604,3922,1761,683,4.2489
Rajas of the Ganges: The Dice Charmers,2020,2,5,30,45,12,['Dice'],"['Dice Rolling', 'Paper-and-Pencil', 'Race']",2289,7.55512,1001,4768,57,105,677,346,66,2.2879
Unmatched: Robin Hood vs. Bigfoot,2019,2,2,20,20,9,"['Card Game', 'Fantasy', 'Fighting', 'Mythology', 'Novel-based']","['Action Points', 'Card Play Conflict Resolution', 'Hand Management', 'Line of Sight', 'Point to Point Movement', 'Variable Player Powers']",3575,7.94294,426,9484,62,155,714,429,42,1.9286
Twilight Imperium: Fourth Edition,2017,3,6,240,480,14,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",21614,8.61272,5,26500,156,1028,10708,3198,1027,4.3067
Key Flow,2018,2,6,45,75,14,"['Card Game', 'City Building', 'Economic', 'Farming', 'Medieval']","['Closed Drafting', 'Neighbor Scope', 'Network and Route Building', 'Set Collection', 'Simultaneous Action Selection', 'Worker Placement']",1384,7.34905,1701,2752,110,158,624,377,33,2.8788
Azul: Master Chocolatier,2022,2,4,30,45,8,"['Abstract Strategy', 'Puzzle']","['End Game Bonuses', 'Open Drafting', 'Pattern Building', 'Tile Placement', 'Turn Order: Claim Action']",1131,7.95508,1489,3334,12,67,546,184,30,1.7333
Elfenland,1998,2,6,60,60,10,"['Fantasy', 'Travel']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement']",8799,6.68415,1291,10905,343,171,792,2271,711,2.1547
Camel Up (Second Edition),2018,3,8,30,45,8,"['Animals', 'Dice', 'Racing']","['Betting and Bluffing', 'Dice Rolling', 'Roll / Spin and Move', 'Track Movement']",10671,7.59126,260,17580,104,432,3518,1492,221,1.457
Sanctum,2019,2,4,60,100,12,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Stat Check Resolution', 'Variable Player Powers']",2203,7.09712,1622,3880,122,146,1212,453,56,2.5357
Path of Light and Shadow,2017,2,4,60,120,14,"['Civilization', 'Fantasy', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",1553,7.4355,1532,2404,67,111,700,394,58,3.1552
Medici,1995,2,6,60,60,10,['Renaissance'],"['Auction: Once Around', 'Auction/Bidding', 'Income', 'Push Your Luck', 'Set Collection', 'Victory Points as a Resource']",8023,7.16425,645,8579,230,410,1556,2430,598,2.2492
Exit: The Game – The Abandoned Cabin,2016,1,6,60,120,12,"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],11033,7.44007,324,15660,249,121,1217,1692,166,2.5482
Tekhenu: Obelisk of the Sun,2020,1,4,60,120,14,"['Ancient', 'Dice', 'Mythology']","['Action Drafting', 'Income', 'Open Drafting', 'Pattern Building', 'Turn Order: Stat-Based', 'Variable Set-up']",5377,7.73661,344,9777,187,307,2181,895,436,4.055
Mystic Vale,2016,2,4,45,45,14,"['Card Game', 'Fantasy']","['Deck, Bag, and Pool Building', 'Layering', 'Push Your Luck']",11433,7.26376,464,16291,393,301,2531,2108,178,2.2584
Ghost Stories,2008,1,4,60,60,12,"['Fantasy', 'Fighting', 'Horror', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Move Through Deck', 'Solo / Solitaire Game', 'Variable Player Powers']",20965,7.27602,362,27409,711,736,5727,4542,1041,2.9039
Ready Set Bet,2022,2,9,45,60,14,"['Animals', 'Party Game', 'Racing', 'Real-time', 'Sports']","['Betting and Bluffing', 'Dice Rolling', 'Race', 'Real-Time', 'Track Movement']",2576,7.6606,813,5075,48,415,2353,431,37,1.2703
Archipelago,2012,2,5,30,240,14,"['Civilization', 'Economic', 'Exploration', 'Nautical', 'Negotiation', 'Renaissance']","['Area Majority / Influence', 'Auction/Bidding', 'Commodity Speculation', 'Grid Movement', 'Hexagon Grid', 'Map Addition', 'Market', 'Modular Board', 'Semi-Cooperative Game', 'Tile Placement', 'Trading', 'Traitor Game', 'Worker Placement']",8106,7.29817,536,10672,314,726,3861,1953,513,3.7368
Catacombs (Third Edition),2015,2,5,60,90,14,"['Action / Dexterity', 'Adventure', 'Fantasy', 'Fighting']","['Flicking', 'Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']",2850,7.49106,912,5969,179,389,2109,714,51,2.3333
London,2010,2,4,90,90,13,"['City Building', 'Economic']","['Hand Management', 'Open Drafting']",6532,7.33273,535,5922,224,258,1190,1598,453,2.8852
Pandemic Legacy: Season 2,2017,2,4,60,60,14,"['Environmental', 'Exploration', 'Medical', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",16125,8.04566,51,30872,249,321,4591,2467,296,3.2466
Machina Arcana (Second/Third Edition),2019,1,4,150,150,13,"['Adventure', 'Dice', 'Exploration', 'Fighting', 'Horror', 'Mythology', 'Science Fiction']","['Action Points', 'Action/Event', 'Cooperative Game', 'Dice Rolling', 'Finale Ending', 'Grid Movement', 'Modular Board', 'Storytelling']",1251,7.99966,1434,3778,71,71,914,363,52,3.6923
Forgotten Waters,2020,3,7,120,240,14,"['Adventure', 'Exploration', 'Fantasy', 'Nautical', 'Pirates', 'Travel']","['Dice Rolling', 'Events', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Stat Check Resolution', 'Storytelling', 'Worker Placement']",5464,7.85854,279,12500,202,460,4300,1041,107,2.1121
Treasure Hunter,2015,2,6,40,40,8,"['Adventure', 'Card Game', 'Fantasy']","['Closed Drafting', 'Hand Management', 'Open Drafting', 'Simultaneous Action Selection']",3120,6.76513,1745,5147,225,77,530,683,106,1.8774
Thurn and Taxis,2006,2,4,60,60,10,"['Post-Napoleonic', 'Transportation']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Set Collection']",19696,7.09213,526,22349,513,475,2155,4301,1844,2.2598
Codenames: Pictures,2016,2,8,15,15,10,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']",21560,7.19945,415,37453,481,165,1844,3038,304,1.2368
Frank's Zoo,1999,3,7,60,60,10,"['Animals', 'Card Game']","['Hand Management', 'Ladder Climbing', 'Team-Based Game', 'Trick-taking']",3668,6.61088,1905,5515,156,86,326,1152,322,1.5217
Santiago,2003,3,5,75,75,10,"['Farming', 'Negotiation']","['Area Majority / Influence', 'Auction/Bidding', 'Auction: Once Around', 'Bribery', 'Commodity Speculation', 'Tile Placement']",5233,7.13614,860,4821,175,290,945,1655,501,2.491
Conflict of Heroes: Storms of Steel! – Kursk 1943,2009,1,4,120,120,12,"['Wargame', 'World War II']","['Action Points', 'Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Simulation']",1480,7.69269,1374,2567,113,135,608,452,158,3.0949
Nations,2013,1,5,40,200,14,"['Card Game', 'Civilization', 'Economic']","['Events', 'Open Drafting', 'Turn Order: Pass Order', 'Variable Player Powers']",12101,7.60869,212,12811,369,633,3460,2304,715,3.5455
Smash Up: Pretty Pretty Smash Up,2015,2,2,45,45,14,"['Animals', 'Card Game', 'Fantasy', 'Humor']","['Area Majority / Influence', 'Hand Management', 'Variable Player Powers']",3561,7.23034,1046,11855,250,74,443,515,46,2.1522
Welcome to the Dungeon,2013,2,4,30,30,10,"['Bluffing', 'Card Game', 'Fantasy', 'Fighting']","['Betting and Bluffing', 'Memory', 'Player Elimination', 'Push Your Luck']",13882,6.54905,1389,24810,713,138,1579,2341,361,1.2327
Tobago,2009,2,4,60,60,10,"['Adventure', 'Deduction', 'Exploration']","['Deduction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Push Your Luck']",11890,7.10083,604,13662,249,767,3313,2640,706,2.1275
Lords of Xidit,2014,3,5,90,90,14,['Fantasy'],"['Action Queue', 'Area Majority / Influence', 'Pick-up and Deliver', 'Point to Point Movement', 'Programmed Movement', 'Simultaneous Action Selection']",6097,7.09315,837,9255,383,158,1052,1088,198,2.6515
Fjords,2005,2,2,30,30,8,"['Abstract Strategy', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Chaining', 'Hexagon Grid', 'Map Addition', 'Modular Board', 'Pattern Building', 'Tile Placement']",3149,6.74627,1779,3539,107,281,920,1185,384,1.7188
Dorfromantik: The Board Game,2022,1,6,30,60,8,"['City Building', 'Environmental', 'Puzzle', 'Territory Building', 'Video Game Theme']","['Area Majority / Influence', 'Cooperative Game', 'Hexagon Grid', 'Map Addition', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Tile Placement', 'Variable Set-up']",2162,7.71331,977,4902,25,297,2248,374,78,1.6923
Tiny Epic Dinosaurs,2020,1,4,30,60,14,"['Animals', 'Fantasy', 'Farming', 'Science Fiction']","['Contracts', 'Enclosure', 'Hidden Victory Points', 'Solo / Solitaire Game', 'Worker Placement']",3206,7.3407,979,9921,138,106,957,680,74,2.6216
Roll Camera!: The Filmmaking Board Game,2021,1,6,45,90,11,"['Dice', 'Humor', 'Movies / TV / Radio theme', 'Puzzle']","['Communication Limits', 'Cooperative Game', 'End Game Bonuses', 'Events', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Simulation', 'Solo / Solitaire Game', 'Square Grid', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Worker Placement with Dice Workers']",1687,7.56056,1351,3903,58,209,1307,407,56,2.2321
Descent: Journeys in the Dark (Second Edition),2012,1,5,120,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Line of Sight', 'Map Addition', 'Modular Board', 'Movement Points', 'Multiple Maps', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Stat Check Resolution', 'Team-Based Game', 'Variable Player Powers']",24910,7.62664,170,39185,941,667,6480,4162,1150,3.2122
Lost Cities,1999,2,2,30,30,10,"['Card Game', 'Exploration']","['Hand Management', 'Melding and Splaying', 'Ordering', 'Push Your Luck', 'Score-and-Reset Game', 'Set Collection']",44559,7.22496,329,63832,1005,547,5522,10001,3085,1.481
Ra: The Dice Game,2009,2,4,45,45,10,"['Ancient', 'Dice']","['Dice Rolling', 'Die Icon Resolution', 'End Game Bonuses', 'Re-rolling and Locking', 'Set Collection']",2577,6.77952,1845,2302,47,288,728,765,217,1.7373
Pathfinder Adventure Card Game: Skull & Shackles – Base Set,2014,1,4,90,90,13,"['Card Game', 'Fantasy', 'Fighting', 'Pirates']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Move Through Deck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']",2643,7.29688,1204,6861,347,78,428,596,93,2.914
