Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight,Description
The Bridges of Shangri-La,2003,3,4,60,60,10,"['Abstract Strategy', 'Mythology', 'Novel-based', 'Territory Building', 'Travel']","['Area Majority / Influence', 'Map Reduction', 'Point to Point Movement', 'Tile Placement']",2565,6.85256,1752,3604,219,114,395,997,234,2.7265,shangrila mysteri isol utopia nestl high mountain strang struggl domin begun peac neighbor master compet mountainfolk train student send across bridg control neighbor villag take control villag student must come togeth uncomfort allianc regardless tribal origin eventu student becom master train new student expand villag one thing student must keep mind travel villag villag mystic power shangrila mysteri caus bridg collaps separ villag forev one crucial question decid winner control master shangrila player take role leader specif tribe battl rage empti villag land player must quick fill villag tribal leader player migrat tribal leader one villag next must becom weak risk lose leader oppos tribe ultim object game leader board end game abstract game mani option tens end 2004 mensa select themat player ad master student tri student migrat nearbi villag becom master function essenti militari game player either spend turn reinforc villag ad token invad neighbor villag expand influenc total token victim uniqu twist invas connect bridg remov cours game attack option becom limit game natur come conclus
Dominion (Second Edition),2016,2,4,30,30,14,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting', 'Take That', 'Variable Set-up']",8874,7.846,173,13544,142,130,1831,1031,182,2.1648,monarch like parent ruler small pleasant kingdom river evergreen unlik parent howev hope dream want bigger pleasant kingdom river wider varieti tree want dominion direct lie fief freehold feodum small bit land control petti lord verg anarchi bring civil peopl unit banner wait must someth air sever monarch exact idea must race get much unclaim land possibl fend along way hire minion construct build spruce castl fill coffer treasuri parent wouldnt proud grandpar mother side would delight dominion player start ident small deck card center tabl select card player buy afford select card buy play hand draw player construct deck fli strive effici path precious victori point game end dominion collect card game ccg play game similar construct play ccg deck game come 500 card select 10 26 kingdom card type includ given play—lead immens varieti dominion second edit replac six kingdom card type first edit six new type kingdom card also replac blank card game seventh new kingdom card new card avail dominion updat pack rulebook rewritten three card mild function chang may ad moneylend mine throne room card rephras remain function dominion updat pack contain seven new kingdom card introduc second edit dominion therebi allow owner first edit obtain new card without need repurchas entir game
Fabled Fruit,2016,2,5,20,30,8,"['Animals', 'Card Game']","['Set Collection', 'Worker Placement']",5959,6.99099,978,8927,248,233,1309,1141,128,1.6094,upon time marvel forest full gorgeous fruit fruit could squeez mix delici juic live forest search savori fruit friend forest dweller help differ way greedi thirsti first satisfi appetit fabl fruit fabl fruit fabl game new uniqu concept game experi gameplay chang time game start initi simpl state explor deeper game system mechan gameplay evolv time play game mani time play chang game slight unlik legaci game howev game never perman chang time may easili restart fabl game begin either run entir game system time mani play get game system fabl game remain playabl 20th play first play game fabl fruit faq
Aladdin's Dragons,2000,3,5,60,90,10,"['Arabian', 'Bluffing', 'Fantasy', 'Medieval']","['Auction/Bidding', 'Auction: Multiple Lot', 'Betting and Bluffing', 'Set Collection', 'Worker Placement']",3216,6.89595,1508,4013,190,128,435,1193,346,2.4624,immedi respons richard brees keydom essen 1999 han im glã¼ck contract take basic game idea produc version game aladdin dragon morgenland origin german product cooper game featur player put number bid chip facedown onto board sequenti player place chip area resolv bottom part board player attempt gather treasur token overal currenc game middl part board featur number special action help player cast spell trade resourc token block player action top part board player use treasur token purchas artifact player collect artifact end game victor game magazin game year award 2001 reimplement keydom reimplement aladdin dragon card game version name board game microbadg buy one aladdin dragon fan
Coffee Traders,2021,2,5,120,150,12,"['Economic', 'Farming', 'Industry / Manufacturing', 'Territory Building']","['Action Points', 'Area Majority / Influence', 'Contracts', 'Turn Order: Pass Order']",1678,7.74832,1181,3073,63,211,1334,318,148,4.2432,thousand coffe farmer world support famili use small stretch hillsid land coffe plantat farmer work day day littl futur coffe farm bright fair trade organ strive improv live condit farmer help set cooper enabl establish better price agreement take loan new plantat help provid educ improv qualiti live famili societi environ coffe trader set 1970s central south america africa asia delici arabica coffe bean farmer harvest sold antwerp — world — coffe roaster larg small work competitor develop region see fit best coffe bean keep watch eye market construct build help fair trade coffe plantat thrive enhanc network trade coffe plantat fall ruin rise top becom world greatest coffe trader —descript publish
Sea Salt & Paper,2022,2,4,30,45,8,[],"['Hand Management', 'Melding and Splaying', 'Push Your Luck', 'Set Collection']",3072,7.37974,986,5730,26,261,1686,485,78,1.4359,turn assembl hand mayb place card effect decid want end round think one point hand choos stop round immedi give other extra turn tri extend gap worth take risk game end reach 303540 point 432 player excit end round catch oppon guard pleasur play effect card make combo origami creat especi game
Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,90,8,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Science Fiction']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Three Dimensional Movement']",8184,7.44509,452,12929,549,220,995,3005,865,2.296,fantasi battl board game come dozen paint plastic miniatur repres warrior differ era hexbas hard plastic terrain piec put togeth mani differ way warrior includ 30 plastic figur includ world war ii soldier futurist robot alien trexrid orc larg dragon mani hero squad card detail movement combat abil 2 larg ruin 85 tile terrain base game terrain tile larg 24 hex other small 1 hex water sand rock grass tile rough increas order mani differ battlefield built attach stack tile rulebook featur two game basic master version basic version design younger player 8 year charact move attack defend rang special power rule minim andor elimin master game includ special power wound engag rule fall rule addit battlefieldscenario book show build five battlefield layer layer battlefield may multipl scenario goal vari oppon elimin get certain space protect certain figur hold certain number turn unit master set movement rate rang 4 8 number hex move turn move level count hex move incur penalti move level height move one hex anoth count fall might take damag unless fall water combat game fair straightforward roll attack dice list unit card 1 8 dice master set oppon roll defens dice equal number unit card 1 9 dice skull roll excess shield count wound hero figur may one life master game use point system player altern draft card reach preassign point valu scenario possibl bring prefab armi battl order save time basic game two player master game 2 4 player game emin customiz mani expans add abil terrain option also usercr map scenario custom unit advanc rule avail onlin heroscap rise valkyri origin master set heroscap seri game
Clever Cubed,2020,1,4,30,30,14,"['Dice', 'Number']","['Dice Rolling', 'Paper-and-Pencil', 'Re-rolling and Locking', 'Solo / Solitaire Game']",2621,7.53124,903,6119,36,80,563,430,67,2.4328,clever hoch drei featur gameplay ganz schön clever doppelt clever new categori score — sometim sever dice time goal choos dice place number match color area put togeth tricki chainscor opportun rack point dice dont use import everi die that smaller chosen one use player keep everyon game time
Dominion: Intrigue,2009,2,6,30,30,13,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management']",33175,7.69345,102,48134,618,442,3167,4449,1361,2.4144,dominion intrigu dominion player start ident small deck card center tabl select card player buy afford select card buy play hand draw player construct deck fli strive effici path precious victori point game end back box someth ’ afoot steward smile like secret like think secret like think think secret secret plot brew ’ sure least pass servant murmur “ egg plate ” frantic search codebook translat realiz mean breakfast readi excel everyth go accord plan dominion intrigu add rule play 8 player two tabl play singl game 6 player combin dominion game add 25 new kingdom card complet set treasur victori card game play alon player experienc dominion basic game dominion part dominion seri integr dominion also releas expans requir base game card set play dominion die intrig â€ “ erweiterung
Fugitive,2017,2,2,5,20,10,"['Bluffing', 'Card Game', 'Deduction', 'Number', 'Spies/Secret Agents']","['Hand Management', 'Hidden Movement', 'Memory', 'Secret Unit Deployment']",5114,7.16648,838,9611,235,257,2128,1114,88,1.6705,fugit twoplay card game set world burgl bros one player fugit tri make town pursu unstopp agent fugit play card face tabl tri work way goal agent must guess card uncov card face fugit caught
I'm the Boss!,1994,3,6,60,60,12,"['Economic', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Negotiation', 'Roll / Spin and Move', 'Set Collection', 'Take That']",3828,6.77413,1570,4326,196,190,801,1273,316,1.9684,six investor card shuffl one dealt face player investor card dealt player set asid influenc card deck shuffl player dealt five card face player whose investor first alphabet order goe first player start player ’ right place dollar marker space game board space game board repres potenti deal investor approv deal number dividend paid investor one ’ turn player open negoti deal dollar marker rest roll sixsid die player roll die dollar marker advanc clockwis around game board count avail deal space dollar marker rest player may tri negoti deal draw three influenc card draw card player ’ hand exceed twelv player choos card discard limit player choos make deal player negoti player player repres investor divid money stake amount number dividend written space multipli valu share written deal tile player may use influenc card affect outcom deal • clan card may act place investor whether investor play • travel card put investor play negoti specif given investor wild play investor • recruit card play set three steal anoth player ’ investor make • boss card give player control negoti • stop card immedi stop effect travel recruit boss influenc card player paid bank deal struck game board space cover deal tile effect close space game play dollar marker move next open space play continu next player nine deal made die roll subsequ deal determin whether game end odd increas time victori goe whoever biggest bankrol user descript
Room 25,2013,1,6,30,30,13,"['Bluffing', 'Deduction', 'Exploration', 'Horror', 'Maze', 'Negotiation', 'Science Fiction']","['Action Queue', 'Cooperative Game', 'Grid Movement', 'Memory', 'Modular Board', 'Player Elimination', 'Programmed Movement', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game']",6664,6.71063,1390,8598,203,176,1220,981,259,1.9305,trap prison room four door appar exit player must tri find room 25 suppos exit nightmar amongst might guardian prison wait right moment strike cooper game room 25 everyon want escap imprison – traitor turn player move preprogram requir discuss negoti – possibl betray room 25 includ five differ play mode full cooper solitair game
Friday,2011,1,1,25,25,13,"['Adventure', 'Card Game', 'Fighting', 'Novel-based', 'Pirates']","['Deck, Bag, and Pool Building', 'Hand Management', 'Push Your Luck', 'Solo / Solitaire Game']",20524,7.1149,509,35985,991,289,2918,4298,867,2.158,friday second game friedemann fries seri freitagproject friedemann fries base stori robinson cruso loyal partner friday freitag play friday robinson cruso crash ship island peac time disturb must help robinson surviv island prepar defeat pirat come island friday solitair deckbuild game optim deck fight card order defeat hazard island turn player attempt defeat hazard card play fight card deck defeat hazard card becom fight card ad player deck fail player lose life point also get opportun remov unwant card fight deck end player use optim fight deck defeat two pirat ship come island allow robinson cruso escap island allow final peac back
Hansa Teutonica,2009,2,5,45,90,12,['Medieval'],"['Action Points', 'Area Majority / Influence', 'End Game Bonuses', 'Network and Route Building', 'Ownership', 'Tech Trees / Tech Tracks']",14820,7.72877,124,12955,230,688,3297,2862,796,3.0967,player act trader tri get victori point build network offic control citi collect bonus marker trader use citi control control line two citi pawn decid build offic mayb also establish control andor get bonus marker get skill improv citi player improv trader skill follow effect get vp offic network get avail action point increas number avail pawn get right place pawn get special pawn game appear origin wettstreit der händler hippodic competit
Tribune: Primus Inter Pares,2007,2,5,60,120,12,"['Ancient', 'Political']","['Auction/Bidding', 'Hand Management', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Worker Placement']",4624,7.2154,843,4907,172,225,844,1214,419,2.8735,ancient rome tribun high esteem individu elect peopl repres polit militarili board game tribun primus inter pare player take role power ambiti patrician famili appli influenc manipul control various faction attempt pave way victori order attain high offic tribun mind high acclaim design die macher karlheinz schmiel gameplay tribun combin worker placement set collect round player take turn posit follow board garner card achiev object andor attempt take faction order gain control faction util benefit one must play set card specif group person remain command faction someon els stage success takeov anoth set either higher quantiti higher sum valu victori achiev player met requir number object specifi victori condit card select start game depend number particip altern choos forego use condit card play pointvalu option variant game end someon collect certain number faction marker winner one highest score determin point assign achiev
Glasgow,2020,2,2,30,30,10,['City Building'],"['Map Addition', 'Rondel', 'Set Collection', 'Square Grid', 'Tile Placement', 'Turn Order: Time Track', 'Variable Set-up', 'Worker Placement']",1809,7.16169,1664,4162,90,140,666,347,47,2.0638,glasgow player travel citi abstract manner collect resourc take special action import construct build build factori youll receiv good build construct right area relat build train station may may score depend els build build monument youll mere collect lot point — end point matter slight detail set game lay ring town figur random two remov play game whoever farther behind circl around town take next turn advanc whichev town figur want visit give resourc — brick steel money — limit mani resourc type hold figur two random build plan visit one right resourc pay build someth pay extra build someth els first build place anywher midst play subsequ build place adjac someth alreadi built build eventu fill 4x5 5x4 determin game progress grid player creation soon twentieth build erect game end player score point built contribut current state glasgow
Backgammon,1635,2,2,30,30,8,"['Abstract Strategy', 'Dice']","['Betting and Bluffing', 'Dice Rolling', 'Race', 'Roll / Spin and Move', 'Score-and-Reset Game', 'Static Capture', 'Track Movement']",13588,6.56048,1463,21411,144,24,300,3449,975,2.0144,backgammon classic abstract strategi game date back thousand year player set 15 checker stone must move start posit around board dice thrown turn player must decid checker move base outcom roll player captur other checker forc captur checker restart journey around board winner first player get 15 checker board recent addit game doubl cube allow player stake game although game reli dice determin movement larg degre strategi decid make effect move given dice roll measur risk term possibl roll oppon may get backgammon may first game mention written histori go back 5000 year sumerian ancient mesopotamia 1920s archaeologist unearth five board cemeteri ancient town ur anoth locat piec dice also found along board board ancient egypt also recov tomb tutankhamun includ mechan dice box doubt intend stop cheater name game mani persia takhteh nard mean battl wood egypt tau may ancestor senat rome ludus duodecim scriptorum game twelv mark later tabula tabl sixth centuri alea dice ancient china tshupu later japan sugoroko english name may deriv bac gamen mean back game refer reentri taken stone back board often enjoy upper class sometim call aristocrat game roman emperor claudius known fan set built coach could play travel world first travel edit rule english standard 1743 edmond hoyl remain popular american innov 1930s
Century: Golem Edition – An Endless World,2020,2,4,30,45,8,['Fantasy'],"['Action Retrieval', 'Contracts', 'Set Collection', 'Variable Set-up', 'Worker Placement']",1285,7.5686,1593,4357,49,118,637,282,35,2.0,centuri golem edit – endless world bring crystal trader face face primordi golem predat human exist golem incred power ever eager assist world continu unfold player discov endless fun
Coloma,2019,1,6,60,90,14,"['American West', 'City Building']","['End Game Bonuses', 'Hand Management', 'Rondel', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Phase Order', 'Variable Player Powers', 'Worker Placement']",2033,7.36578,1304,2866,51,268,1254,413,77,2.961,coloma town unexpect event happen shape histori western frontier winter 1848 man build sawmil south fork american river spot bright nugget tailrac water sure enough gold though tri keep discoveri secret word spread quick trigger california gold rush ‘ 49 thousand peopl arriv far wide make coloma one fastest grow boomtown countri claim stake camp makeshift home built hotel saloon sprung almost overnight everyon want cut land ’ wealth mani coloma bust game coloma pioneer recent travel west strike rich make name prospect gold use windfal recruit worker rustl hors establish busi also get opportun explor surround riverway frontier land ala alone—everi pioneer seem gotten idea therefor take extra cun tactic part go bust rest them… overview play begin chapter player simultan select action perform board select reveal must check major player chose action bust—which disabl boom bonus would includ otherwis player take turn perform action gain resourc move wagon map build bridg busi place camp gunmen section board rotated—slight chang layout action upcom chapter rotat section hit high noon round end bang shootout evergrow number outlaw player outnumb outlaw combin gunmen get fair share reward reward drop gunmen go graveyard game end third shootout player point win coloma fast move game mani path victori offer uniqu twist simultan action select resourc manag enginebuild town card tableau allow play effici gain extra action bend rule advantag card bridg tile add point base achiev creat perfect combin strategi play style —descript publish
The Rise of Queensdale,2018,2,4,45,60,12,"['Civilization', 'Medieval']","['Dice Rolling', 'Legacy Game', 'Scenario / Mission / Campaign Game', 'Worker Placement', 'Worker Placement with Dice Workers']",1210,7.4518,1856,2539,55,199,1449,305,27,2.7407,build castl build citi worthi queen king wish command decid travel valley queensdal collect raw materi build build take fate hand fame fortun sure — werent glori seeker also follow king wish act courag wisdom rememb decis consequ rise queensdal legacystyl game decis impact game rule cours multipl game session creat uniqu game experi upgrad dice develop borough gain king patronag experi rise fall queensdal — hand
Antike Duellum,2012,2,2,75,75,13,"['Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Hand Management', 'Income', 'Race', 'Rondel', 'Static Capture', 'Tech Trees / Tech Tracks']",1801,7.06873,1812,2346,100,127,477,532,122,2.877,antik duellum – preview spiel 2011 name casus belli – twoplay strategi game base modifi rule mac gerdt antik game includ two scenario punic war rome vs carthago one side board persian war greek vs persian goal game first gain nine ancient personag king scholar general citizen navig exampl modifi rule antik modular layout player found citi choos whether produc iron marbl gold 20 event card provid varieti game town wall individu protect citi knowhow cost differ amount exampl invent market expens invent wheel new knowhow trade good bank higher cost legion galley first recruit bank person suppli pay gold easier rule conquer citi movement unit resourc chip marbl 18 iron 18 gold 18 coin 14 46 card 24 token valu 1 marbl 8 iron 8 gold 8 18 token valu 2 marbl 6 iron 6 gold 6 12 token valu 5 marbl 4 iron 4 gold 4 14 coin onlin play yucata turnbas
Escape: The Curse of the Temple,2012,1,5,10,10,8,"['Action / Dexterity', 'Adventure', 'Dice', 'Electronic', 'Exploration', 'Real-time']","['Cooperative Game', 'Dice Rolling', 'Elapsed Real Time Ending', 'Grid Movement', 'Modular Board', 'Physical Removal', 'Push Your Luck', 'Re-rolling and Locking', 'Real-Time', 'Roll / Spin and Move', 'Solo / Solitaire Game', 'Tile Placement']",16739,6.96553,682,20925,652,475,3842,3588,688,1.4782,escap curs templ cooper game player must escap yes templ yes curs yes templ collaps kill one explor therebi caus everyon lose initi game board consist row three squar tile show combin two symbol say two green adventur one green adventur one blue key one corner tile explor start center tile – safe room – player start hand five dice die five symbol curs mask – die set asid roll golden mask – symbol counteract two curs mask either anoth explor room red torch blue key – use enter room access treasur activ gem green adventur appear twice die – need move room room activ gem escap play realtim player roll dice take action simultan must roll right symbol enter room your open doorway roll reveal next tile stack add doorway room contain combin red blue symbol possibl work player room roll enough red blue symbol discov magic gem move separ gem depot onto tile realtim aspect enforc soundtrack play game certain point countdown start player arent back safe room time lose one dice exit tile reveal player attempt escap templ move tile roll number blue dice equal magic gem havent remov gem depot thus gem find easier escap templ player escap give one die player choic player escap third countdown everyon win everyon lose matter mani player escap escap curs templ includ two expans modul use individu togeth treasur modul room contain treasur reveal room place facedown treasur chest tile roll symbol chest tile claim treasur use later key let teleport anywher path let connect two room otherwis door medic kit heal player instant put black dice back play curs modul tile curs player forc place one hand head keep mute play otherwis wouldnt want escap templ
Maria,2009,2,3,210,210,14,"['Age of Reason', 'Bluffing', 'Negotiation', 'Political', 'Wargame']","['Auction/Bidding', 'Hand Management', 'Negotiation', 'Point to Point Movement', 'Secret Unit Deployment', 'Simulation', 'Tug of War', 'Variable Set-up']",3414,7.98353,391,5114,97,406,1809,1000,290,3.5621,maria game base war austrian success 1740 1748 austria attack prussia franc bavaria saxoni great britain hanov netherland form socal pragmat armi help maria primarili 3 player game one player austria second franc plus bavaria third player play prussia austria enemi pragmat armi austria alli time made possibl divis map two part flander map bohemia map maria deriv awardwin friedrich charact includ polit hussar forc march imperi elect saxoni betray prussia annex silesia subtl maneuv seizur fortress prudent retreat machiavellian polit key victori howev player must care whoever use tactic card unwis battl sudden find highway glori road ruin maria take era 18th centuri ruthless struggl power play 2 variant shorter simplifi introductori game longer richer advanc game simultan campaign bohemia flander
Indigo,2012,2,4,30,30,8,['Abstract Strategy'],"['Hexagon Grid', 'Network and Route Building', 'Point to Point Movement', 'Tile Placement']",3324,6.85202,1548,4881,119,222,995,819,159,1.4717,indigo tilelay game along line metro tsuro lini 1 player build path bit bit player own individu path everyon tri exploit path alreadi present unlik earlier game howev goal move gemston start locat board design goal player score point win game set game board place central hex tile add five green gem one indigo gem place six uturn tile design locat outer edg game board place yellow gem tile player place goal marker goal uturn tile edg game board twoplay game player altern goal threeplay game player one goal share two other fourplay game player share goal everi player turn player place tile space game board restrict player creat rout direct one goal anoth tile three rout segment connect one pair edg player place tile next gemston gemston move far possibl along rout player see place tile next move gemston thus player avoid mental gymnast requir metro lini 1 noth move rout complet connect central tile green gem move first indigo gem move sixth connect player place tile one gem would run anoth gem remov game gem move goal own one player player keep gem two player goal player collect gem color take extra gem need reserv gem claim game end player earn 3 point indigo gem 2 green 1 yellow player point win
Dice Throne,2018,2,6,20,40,8,"['Card Game', 'Dice', 'Fantasy', 'Fighting']","['Dice Rolling', 'Take That', 'Variable Player Powers']",1881,7.67092,1211,2415,15,64,890,291,46,2.1304,game system entri allow discussionr game system whole specif product releas version appear individu item page dice throne fastpac 26 player combat game whether 1v1 2v2 3v3 2v2v2 freeforal select varieti hero play feel complet distinct one anoth attack oppon activ abil roll hero uniqu set five dice accumul combat point spend card larg rang effect grant perman hero upgrad appli status effect manipul dice direct whether teammat even oppon player need hero dice card play dice throne season one game releas singl box contain compon six hero season two releas four small set contain compon two hero well battl chest four small set hero mixedandmatch across season link entri bgg databas dice throne season one dice throne season one rerol dice throne season one rerol â€ “ barbarian v moon elf dice throne season one rerol â€ “ monk v paladin dice throne season one rerol â€ “ pyromanc v shadow thief dice throne season one rerol â€ “ treant v ninja dice throne season two â€ “ battl chest dice throne season two â€ “ seraph v vampir lord dice throne season two â€ “ tactician v huntress dice throne season two â€ “ gunsling v samurai dice throne season two â€ “ curs pirat v artific dice throne adventur
Fantasy Realms,2017,2,6,20,20,14,"['Card Game', 'Fantasy']","['End Game Bonuses', 'Hand Management', 'Open Drafting', 'Set Collection']",13521,7.52543,247,21675,209,327,2900,1858,306,1.7941,ruler build mightiest realm world choos follow militari tactic sweep away path massiv armi turn toward sorceri control inaccess island surround impenetr flame choic two realm ever fantasi realm combolici card game fantasi realm take second learn draw card discard card — though draw deck discard area make best hand make best combo game end ten card discard area aim highest score win make score easier wizkid game companion offer score helper fantasi realm game complet input card app instant see also handi lookup card avail io googl play
The Wolves,2022,2,5,75,75,14,"['Animals', 'Territory Building']","['Area Majority / Influence', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Take That', 'Variable Set-up']",1646,7.48033,1494,3603,38,195,2343,287,62,2.8065,wolv packbuild strategi game 25 player surviv fittest compet build largest domin pack claim territori recruit lone wolv hunt prey care expand reckless terrain rival thrive – may lure member pack away clever actionselect mechan drive choic action requir flip terrain tile match terrain wish take action doublesid tile mean action take round set terrain type act next round take action expand pack control region also upgrad pack attribut allow take aggress action game goe three midgam score phase power calcul region end game player talli point base vp token earn score phase highest vp number reveal six track player board player vp win —descript publish
Firenze,2010,2,4,60,60,12,"['Economic', 'Renaissance']","['Increase Value of Unchosen Resources', 'Set Collection']",3177,7.22963,1050,3691,106,344,1094,762,175,2.56,florenc 12th14th centuri citi power influenti famili dont compet trade polit also tri outdo one anoth build tall most squarebas tower home status symbol firenz master builder work famili construct commiss tower player compet earn prestig point complet commiss famili church place seal work done someon play final seal builder get one turn final score color brick currenc game card help hinder progress turn player must choos card display take brick pay brick everi card skip opportun exchang three brick one display player work construct site player multipl tower construct howev everi brick wish add turn extra cost tower built upon turn torn abandon construct player must pay attent project commiss count snatch away claim game second prize hippodic ev authorenwettbewerb game design contest 2008 name die architekten von florenz
Roads & Boats,1999,1,4,240,240,14,"['City Building', 'Civilization', 'Economic', 'Industry / Manufacturing', 'Transportation']","['Grid Movement', 'Line Drawing', 'Modular Board', 'Network and Route Building', 'Pick-up and Deliver']",3352,7.71169,562,4447,73,769,2278,1152,366,4.194,road boat player start modest collect donkey gees board stone materi player work develop civil emphasi game logist transport bring good produc make new good bewar thing transport anyon use product facil pick good left behind detail massiv set piec look like modular game kit anyth els get sever small hex number color terrain type hundr littl counter commod produc locat theyr produc wooden disk donkey raft truck form transport use roll acryl eras marker tile laid whatev scenario wish play clear plastic tape top secur entir board road bridg drawn plastic chit place hex form play surfac idea transport unit first fleet 3 donkey travel pick item part produc howev thing carri transport might nice shini new truck factori goldfil mine anyon use take collect necessari compon transport factori ultim goal collect wealth progress valuabl harder manufactur gold coin stock certif also contribut game timer form monument block victori point third edit later player transport token upgrad shape wooden token 20th anniversari road boat edit contain cetera expans road boat 20th anniversari edit
Habitats,2016,1,5,30,50,10,"['Animals', 'Environmental', 'Puzzle', 'Territory Building']","['Grid Movement', 'Map Addition', 'Open Drafting', 'Pattern Building', 'Square Grid', 'Tile Placement']",1879,7.37981,1336,3233,76,181,830,539,36,2.1667,habitat player build big wildlif park without cage fenc anim park need natur habitat grassland bush rock lake zebra need big area grass water adjac exampl bat need rock bush water hart need bush grass crocodil need main water snake baboon bee eleph otter lizard turtl eagl meerkat scorpio hog catfish rhino etc landscap requir — 68 differ anim total player start individu park entranc tile repres marketplac anim tile ceram figur wooden ranger meepl edit turn player take tile left right front move figur space vacat draw tile place figur start turn ad anim tile park add main landscap — base space anim — park place new anim piec landscap help fulfil requir anim requir eg water hippo tile fulfil adjac otter need water thus fulfil everi anim desir land becom difficult task tile add asid expand park differ landscap type flora anim improv profit build extra entranc road trek spot watchtow habitat last three season season give player 69 new tile park whoever best met goal season receiv bonus point smaller number point second third place end game player score tile park base whether tile requir satisfi whoever score point win note boardgamet edit contain xl expans doubl expans entir replac previous edit
Lovecraft Letter,2017,2,6,5,15,10,"['Card Game', 'Deduction', 'Fantasy', 'Horror']","['Hand Management', 'Player Elimination', 'Score-and-Reset Game']",4450,7.21684,905,8227,98,123,956,726,86,1.407,1920s world state confus follow wwi time friend find amongst mysteri event surround strang figur letter unread text well sudden appear unknown reli connect set investig incid unknown fright truth lie wait ahead lovecraft letter card game combin love letter system world hp lovecraft addit standard sixteen card love letter game new version card includ special insan power one card discard pile insan least current round futur turn play insan card regular power special power give option play risk howev must undergo saniti check start turn draw mani card deck number insan card front draw one insan card your round win game whether last person stand player highest singl card deck run win token color reflect whether sane insan win enough token right type win game cthluhu also help win game releas right time put end evil scheme investig help guid world destruct one insan discipl depend 1920å¹´ä » £ã€ä¸–ç•œã¯ã „ ã¾ã ç¬¬ä¸€æ¬¡å¤§æˆ¦å¾œã®æ··è¿·ã®ä¸­ã « ã‚ã£ãÿã€‚ãã‚ “ ãªæš˜ã€ã‚ãªãÿã®èº « å†…ã€ã‚ã‚‹ã „ ã¯å‹äººãœã€ä¸å¯æ€è­°ãªå‡ºæ¥äº‹ã « é­é‡ã™ã‚‹ã€‚å ‘ ¨å›²ã « ç¾ã‚œãÿå¥‡å¦™ãªäººå½±ã€èª­ã‚ãªã „ æ–‡å­—ã§ç¶´ã‚‰ã‚œãÿæ‰‹ç´™ã€ãã—ã¦ã€çªç „ ¶ã®å¤±è¸ªã€‚ ã‚ãªãÿã¯ä¼æ‰‹ã‚ ’ é ¼ã‚šã « ã€ã “ ã®äº‹ä » ¶ã®èª¿æÿ » ã¸ã¨ä¹—ã‚šå‡ºã—ãÿã€‚ãã®å…ˆã « ã©ã®ã‚ˆã†ãªæã‚ã—ã „ äº‹å®ÿãœå¾…ã£ã¦ã „ ã‚‹ã‹ã‚‚çÿ¥ã‚‰ãšã « ……ã€‚ æœ¬ã‚²ãƒ¼ãƒ ã¯ã€ãƒ©ãƒ–ãƒ¬ã‚¿ãƒ¼ã®ã‚²ãƒ¼ãƒ ã‚·ã‚¹ãƒ†ãƒ ã§ã‚¯ãƒˆã‚¥ãƒ « ãƒ•ã®ä¸–ç•œè¦³ã‚ ’ è¡¨ç¾ã—ãÿã‚ « ãƒ¼ãƒ‰ã‚²ãƒ¼ãƒ ã§ã™ã€‚é€šå¸¸ã®ã‚ « ãƒ¼ãƒ‰ã‚ » ãƒƒãƒˆã « åš ãˆã¦ã€æã‚‹ã¹ãåš›ã‚ ’ æœã¤ç‹‚æ°—ã‚ « ãƒ¼ãƒ‰ãœæ–°ãÿã « å°žå…¥ã•ã‚œã€å…ƒã®ã‚²ãƒ¼ãƒ ã¨ã¯ç•°ãªã‚‹ã‚²ãƒ¼ãƒ å±•é–‹ã‚ ’ æ¥½ã—ã‚€ã “ ã¨ãœã§ãã¾ã™ã€‚ æž¢ç´¢è€…ã¨ã—ã¦é™°è¬€ã‚ ’ æœªç „ ¶ã « é˜²ãã®ã‹ã€ç‹‚æ°—ã®ä¿¡å¾ ’ ã¨ãªã£ã¦ä¸–ç•œã‚ ’ ç ´æ » …ã « å°žãã®ã‹ã€‚ãã‚œã‚‰ã¯å…¨ã¦ã‚ãªãÿã®é¸æšžæ¬¡ç¬¬ã§ã™ã€‚
